date,position,strategy_ret,strategy_nav
2022-10-27,0.0,-0.0,1.2980250378575198
2022-10-28,0.0,-0.0,1.2980250378575198
2022-10-31,0.0,-0.0,1.2980250378575198
2022-11-01,1.0,-0.0,1.2980250378575198
2022-11-02,1.0,-0.0001,1.297895235353734
2022-11-03,1.0,0.015911485774499523,1.3185466769278558
2022-11-04,1.0,-0.014573177056321995,1.2993312627479612
2022-11-07,1.0,0.027366980685227027,1.3348900363192964
2022-11-08,1.0,-0.03667844884995641,1.2859283404018427
2022-11-09,1.0,0.025152884871044945,1.3182731479003842
2022-11-10,1.0,0.006017221703496167,1.3262054896970665
2022-11-11,1.0,0.025265546045168508,1.359712795562363
2022-11-14,1.0,0.038523435928384586,1.4120936043232142
2022-11-15,1.0,-0.021791767554479424,1.3813215887326356
2022-11-16,1.0,0.032376237623762405,1.4260435847242763
2022-11-17,1.0,-0.017838304402033156,1.400605385169398
2022-11-18,1.0,-0.017429938482570018,1.376192919467539
2022-11-21,1.0,-0.009291925465838458,1.363405437433232
2022-11-22,1.0,-0.014545089778312814,1.3435745829415258
2022-11-23,1.0,0.012774837133550543,1.3607385294153818
2022-11-24,1.0,-0.0019096437006884681,1.3581400036543996
2022-11-25,1.0,0.0030713458536830718,1.3623113213233446
2022-11-28,1.0,-0.009637586587691982,1.349181928004698
2022-11-29,1.0,-0.026862645717182,1.3129393318646831
2022-11-30,1.0,0.027604166666666652,1.3491819280046977
2022-12-01,1.0,0.013735428281804296,1.3677135196159127
2022-12-02,1.0,0.012149392530373504,1.384330408034825
2022-12-05,1.0,-0.005285516696305059,1.3770135065499542
2022-12-06,1.0,0.023985697968913033,1.4100421366171754
2022-12-07,1.0,0.002424830261881672,1.413461249460573
2022-12-08,0.0,0.009869375907111788,1.4274112298616353
2022-12-09,0.0,0.06342400114975576,1.517943361345554
2022-12-12,0.0,-0.0,1.517943361345554
2022-12-13,0.0,-0.0,1.517943361345554
2022-12-14,0.0,0.0,1.517943361345554
2022-12-15,0.0,-0.0,1.517943361345554
2022-12-16,0.0,-0.0,1.517943361345554
2022-12-19,0.0,-0.0,1.517943361345554
2022-12-20,0.0,-0.0,1.517943361345554
2022-12-21,0.0,0.0,1.517943361345554
2022-12-22,0.0,-0.0,1.517943361345554
2022-12-23,0.0,-0.0,1.517943361345554
2022-12-26,0.0,0.0,1.517943361345554
2022-12-27,0.0,0.0,1.517943361345554
2022-12-28,0.0,0.0,1.517943361345554
2022-12-29,0.0,0.0,1.517943361345554
2022-12-30,0.0,-0.0,1.517943361345554
2023-01-03,0.0,0.0,1.517943361345554
2023-01-04,0.0,0.0,1.517943361345554
2023-01-05,0.0,-0.0,1.517943361345554
2023-01-06,0.0,-0.0,1.517943361345554
2023-01-09,0.0,-0.0,1.517943361345554
2023-01-10,0.0,-0.0,1.517943361345554
2023-01-11,0.0,-0.0,1.517943361345554
2023-01-12,0.0,0.0,1.517943361345554
2023-01-13,0.0,-0.0,1.517943361345554
2023-01-16,0.0,0.0,1.517943361345554
2023-01-17,0.0,-0.0,1.517943361345554
2023-01-18,0.0,0.0,1.517943361345554
2023-01-19,0.0,0.0,1.517943361345554
2023-01-20,1.0,0.0,1.517943361345554
2023-01-30,1.0,-0.0001,1.5177915670094195
2023-01-31,1.0,0.0142397795130913,1.539404584270463
2023-02-01,1.0,0.005434782608695565,1.5477709135328022
2023-02-02,1.0,0.013288288288288319,1.5683381396360534
2023-02-03,1.0,-0.025961324738830838,1.527622003892668
2023-02-06,1.0,0.004061886723563557,1.533827031428903
2023-02-07,1.0,-0.037272727272727235,1.4766571148029168
2023-02-08,1.0,-0.014258734655335226,1.455601852826029
2023-02-09,1.0,0.01714723632531845,1.4805614017920083
2023-02-10,1.0,-0.011819551704652431,1.463061829751615
2023-02-13,1.0,0.025875625446747597,1.500919469663701
2023-02-14,1.0,-0.034745447788926076,1.4487693505951182
2023-02-15,1.0,-0.005774783445620768,1.4404030213327788
2023-02-16,1.0,-0.009196515004840311,1.4271563333340744
2023-02-17,1.0,-0.002442598925256445,1.4236703628080998
2023-02-20,1.0,-0.0053868756121449035,1.4160012276509553
2023-02-21,1.0,0.009354997538158605,1.4292479156496596
2023-02-22,1.0,0.030536585365853686,1.4728922666348638
2023-02-23,1.0,-0.027406986651519416,1.432524727944076
2023-02-24,1.0,-0.02418844600184944,1.3978741809158868
2023-02-27,1.0,-0.015411471321695736,1.3763308830653627
2023-02-28,1.0,0.0014690238589736282,1.378352745970428
2023-03-01,1.0,-0.006727364693980831,1.369080064371335
2023-03-02,1.0,-0.003921169221367871,1.3637116697613338
2023-03-03,1.0,-0.04084867075664622,1.3080058607562568
2023-03-06,1.0,0.002558499013911808,1.3113523924611925
2023-03-07,1.0,0.0028177999893668204,1.3150475212187258
2023-03-08,1.0,0.0020146325946346355,1.3176968588184665
2023-03-09,1.0,-0.013227513227513255,1.3002670061885926
2023-03-10,1.0,-0.004450402144772103,1.2944802951154746
2023-03-13,1.0,-0.032315398287283914,1.2526486488037771
2023-03-14,1.0,-0.012411643568765007,1.2371012202579295
2023-03-15,1.0,0.010482416591523824,1.2500690306145557
2023-03-16,1.0,-0.015058561070831034,1.2312447897742917
2023-03-17,1.0,-0.008040770101925276,1.2213446334805234
2023-03-20,1.0,0.004566731362027676,1.2269221863220832
2023-03-21,1.0,0.00011364927832713256,1.2270616251431221
2023-03-22,1.0,-0.007784090909090935,1.217510065901951
2023-03-23,1.0,0.012941648055889488,1.233266652679357
2023-03-24,1.0,-0.01876872632709592,1.2101198083868845
2023-03-27,1.0,0.030477617099729182,1.2470013765516976
2023-03-28,1.0,0.0013418316001341246,1.2486746424041655
2023-03-29,1.0,0.005583472920156263,1.255646583456115
2023-03-30,1.0,0.003498056635202751,1.2600389063188433
2023-03-31,1.0,-0.027278260388424735,1.225667236932732
2023-04-03,1.0,0.0017064846416381396,1.2277588192483166
2023-04-04,1.0,0.024701873935264018,1.258086762824297
2023-04-06,1.0,-0.03463563313937379,1.2145121312496123
2023-04-07,1.0,0.0007462686567163423,1.2154184835863657
2023-04-10,0.0,0.019962140767509906,1.2396808384471503
2023-04-11,0.0,0.0027119903267531667,1.2430428408892802
2023-04-12,0.0,0.0,1.2430428408892802
2023-04-13,0.0,0.0,1.2430428408892802
2023-04-14,0.0,0.0,1.2430428408892802
2023-04-17,0.0,0.0,1.2430428408892802
2023-04-18,0.0,0.0,1.2430428408892802
2023-04-19,0.0,-0.0,1.2430428408892802
2023-04-20,0.0,0.0,1.2430428408892802
2023-04-21,0.0,0.0,1.2430428408892802
2023-04-24,0.0,-0.0,1.2430428408892802
2023-04-25,0.0,-0.0,1.2430428408892802
2023-04-26,0.0,-0.0,1.2430428408892802
2023-04-27,0.0,-0.0,1.2430428408892802
2023-04-28,0.0,0.0,1.2430428408892802
2023-05-04,0.0,0.0,1.2430428408892802
2023-05-05,0.0,0.0,1.2430428408892802
2023-05-08,0.0,-0.0,1.2430428408892802
2023-05-09,0.0,0.0,1.2430428408892802
2023-05-10,0.0,-0.0,1.2430428408892802
2023-05-11,-1.0,-0.0,1.2430428408892802
2023-05-12,-1.0,-0.0001,1.2429185366051914
2023-05-15,-1.0,-0.006155303030302983,1.2352679963704056
2023-05-16,-1.0,-0.00588235294117645,1.228001714038815
2023-05-17,-1.0,0.03508771929824561,1.2710894934787735
2023-05-18,-1.0,-0.007939393939393913,1.2609978132578208
2023-05-19,-1.0,0.0031266911189946622,1.2649405639216058
2023-05-22,-1.0,0.010736473852464012,1.2785215652110713
2023-05-23,-1.0,0.011157856228278806,1.2927871250204503
2023-05-24,-1.0,0.030090023430755952,1.3316871199032954
2023-05-25,-1.0,-0.007501589319771185,1.321697350027352
2023-05-26,-1.0,-0.02536597677940433,1.288171205737158
2023-05-29,-1.0,-0.006707692307692303,1.279530549649444
2023-05-30,-1.0,0.008863622470811183,1.2908718253814062
2023-05-31,-1.0,-0.010916491920562432,1.2767800335291484
2023-06-01,-1.0,0.0543590995058264,1.3461846464188119
2023-06-02,-1.0,-0.030903225806451662,1.3045831983133531
2023-06-05,-1.0,-0.016959759684586073,1.28245778078141
2023-06-06,-1.0,0.02369230769230768,1.312842165126077
2023-06-07,-1.0,-0.005357705641348964,1.3058083432517804
2023-06-08,-1.0,-0.00018808777429457635,1.305562736666843
2023-06-09,-1.0,-0.004638625963768517,1.2995067194592114
2023-06-12,-1.0,-0.017969676171460724,1.276155004527892
2023-06-13,-1.0,-0.002083971805087348,1.2734955334795348
2023-06-14,0.0,0.004159275796684847,1.2787923526291225
2023-06-15,0.0,-0.05267662305755173,1.2114298899007985
2023-06-16,0.0,0.0,1.2114298899007985
2023-06-19,0.0,-0.0,1.2114298899007985
2023-06-20,0.0,-0.0,1.2114298899007985
2023-06-21,0.0,-0.0,1.2114298899007985
2023-06-26,0.0,-0.0,1.2114298899007985
2023-06-27,0.0,-0.0,1.2114298899007985
2023-06-28,0.0,0.0,1.2114298899007985
2023-06-29,0.0,-0.0,1.2114298899007985
2023-06-30,0.0,-0.0,1.2114298899007985
2023-07-03,0.0,0.0,1.2114298899007985
2023-07-04,0.0,0.0,1.2114298899007985
2023-07-05,0.0,0.0,1.2114298899007985
2023-07-06,0.0,0.0,1.2114298899007985
2023-07-07,0.0,0.0,1.2114298899007985
2023-07-10,0.0,-0.0,1.2114298899007985
2023-07-11,0.0,-0.0,1.2114298899007985
2023-07-12,0.0,0.0,1.2114298899007985
2023-07-13,0.0,0.0,1.2114298899007985
2023-07-14,0.0,0.0,1.2114298899007985
2023-07-17,0.0,0.0,1.2114298899007985
2023-07-18,0.0,-0.0,1.2114298899007985
2023-07-19,0.0,-0.0,1.2114298899007985
2023-07-20,1.0,0.0,1.2114298899007985
2023-07-21,1.0,-0.0001,1.2113087469118085
2023-07-24,1.0,-0.010883557636044427,1.198125398349749
2023-07-25,1.0,-0.003786086133459543,1.1935891923929114
2023-07-26,1.0,0.01009501187648465,1.2056384894657615
2023-07-27,1.0,0.0018224573780130093,1.2078357142261047
2023-07-28,1.0,-0.008626254327797622,1.1974166161689932
2023-07-31,1.0,0.013673493548005178,1.2137894845444541
2023-08-01,1.0,0.004379562043795637,1.2191053509001233
2023-08-02,1.0,0.0,1.2191053509001233
