date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2022-09-26,0.09575105474265878,0.0899509357502227,0.06093977075726959,0.07834944367977045,0.07100772391458085,0.12848866644235898,0.12557687928588035,0.06589101294264485,0.09341595136941386,0.12057014934057499,0.07005841177462463
2022-09-27,0.09307550223822347,0.08867094602490162,0.060176345892137904,0.0770277559768771,0.07024371007610934,0.12904742633986427,0.12421775641967228,0.06528980444620058,0.10508204068771113,0.11826882733303284,0.06889988456526948
2022-09-28,0.09255388886893061,0.08863231904345473,0.06002984660935185,0.07701264945946598,0.07022003787715143,0.13056812467972076,0.12432300608748834,0.06514953385596471,0.10506215588404996,0.11766023555231647,0.06878820208210536
2022-09-29,0.09245767204563989,0.08852378049750283,0.06029060368899133,0.0769208311708948,0.07020643972764624,0.12813296012582298,0.125454996425506,0.06529952232002856,0.10737282459635315,0.11671355911246234,0.06862681028915188
2022-09-30,0.09239785720384332,0.08842534555865718,0.06016131337612411,0.0767957239950524,0.07037901483615495,0.1276986907687138,0.12621163621400366,0.06530316464900475,0.10741681117323983,0.11672575419356176,0.06848468803164431
2022-10-10,0.0919796611310991,0.0886178451286798,0.05993381818502765,0.07627200436507663,0.06982500503748892,0.1300664558339253,0.1255719529269263,0.06523763611001385,0.10863781429533786,0.11579389363994752,0.06806391334647716
2022-10-11,0.09216847727991614,0.0887577146749567,0.060043173142901536,0.07639849519915394,0.06764985025013615,0.13010438284258252,0.12609472901253913,0.06542531942888437,0.10962769856312284,0.11557414661885453,0.0681560129869524
2022-10-12,0.09105343846906336,0.08759024205644124,0.0592370880903316,0.0753645638862419,0.06749324171258766,0.12693235031319539,0.12480627174885003,0.06577120701192632,0.12077755504732146,0.11384403766364792,0.06713000400039315
2022-10-13,0.090700793107068,0.08728797109798545,0.05915574685148818,0.07490434043510015,0.068217573385956,0.12573854379409644,0.1254957615887981,0.06699277080429206,0.1201023287712653,0.11445720708061412,0.06694696308333606
2022-10-14,0.09048988344482604,0.0870185437257359,0.05962408288335323,0.0743077715848823,0.06798186281752501,0.12701044008244305,0.1260974654382203,0.0674648271007873,0.12009380666197741,0.11319626595655306,0.06671505030369641
2022-10-17,0.09031665831090503,0.08699586527731464,0.059744782621315315,0.07431872311877906,0.06799132204069372,0.12758534003906036,0.12603231704822473,0.06761824649874307,0.11978173486664945,0.11268635882557704,0.0669286513527376
2022-10-18,0.09029579244339271,0.08701335553625819,0.05971335212765502,0.07390731295941402,0.06805655887139891,0.12849523704109134,0.1263558818337197,0.06754416224364317,0.11982134376123693,0.11175988966636162,0.06703711351582826
2022-10-19,0.0901984406442867,0.0869556530857908,0.059658646855323426,0.07408121080226529,0.06804532548059479,0.13032366818488436,0.12775242766726194,0.06761323882410689,0.11974805089069349,0.10861977787883166,0.06700355968596058
2022-10-20,0.08941437626565026,0.08636557729424008,0.05929996633951878,0.07388196458890324,0.06757354752176617,0.12923173531417603,0.13043719434176707,0.06744103749815762,0.12078467149510264,0.10793191414541514,0.06763801519530302
2022-10-21,0.08952783198631958,0.08613210726661828,0.05895038779920372,0.07410550791723432,0.06740565721094559,0.1288562357959411,0.1312262577219223,0.06783137841985107,0.12087625363214202,0.1076264349654735,0.06746194728434837
2022-10-24,0.08963465689431316,0.08611559533249039,0.05885011549104461,0.07351284155275227,0.0674418334875854,0.12819966901273436,0.13258024113775282,0.06800890007283472,0.12058650175989162,0.10755313655492957,0.06751650870367105
2022-10-25,0.0889580422024426,0.08546059822696371,0.05815992201625676,0.07267969479137454,0.06700377492278237,0.13047271543026775,0.1340500440930646,0.06833202237831514,0.12072292387430998,0.10676973911135296,0.06739052295286949
2022-10-26,0.08555819090355515,0.08055335046120798,0.05588834694997225,0.08586574939238342,0.06473582566877441,0.13028575608158915,0.13785217961726207,0.06639358085283902,0.12755994139553278,0.10055848253580685,0.06474859614107682
