date,RB,I,J,JM
2020-02-25,0.20813435677864506,0.18193637003188964,0.24123311994604485,0.3686961532434205
2020-02-26,0.21200022391998757,0.17978720322627098,0.24060172696198903,0.36761084589175247
2020-02-27,0.21199121940913357,0.18045251303650778,0.23992476794387801,0.3676314996104807
2020-02-28,0.21268867959730284,0.17844310644821704,0.24000914435898682,0.3688590695954933
2020-03-02,0.2153211649185108,0.17587801006703369,0.23695360718213418,0.37184721783232144
2020-03-03,0.21613911811054257,0.1762484143000613,0.23742254362264414,0.37018992396675204
2020-03-04,0.2223428453516452,0.16971850381132017,0.23768589586111322,0.3702527549759214
2020-03-05,0.22279720411080955,0.1700785723611681,0.23741084061235668,0.3697133829156657
2020-03-06,0.22312454036186688,0.17092431442041225,0.23713743735120493,0.36881370786651596
2020-03-09,0.22468481824531888,0.17228211059311055,0.2377621848407201,0.3652708863208505
2020-03-10,0.22614184512637503,0.17396527407297022,0.23452265905199063,0.36537022174866424
2020-03-11,0.22697154525611846,0.17489758188264043,0.232115061179287,0.3660158116819542
2020-03-12,0.22725362930371015,0.17506412510642066,0.2320492200129173,0.365633025576952
2020-03-13,0.22744660480218884,0.17515549097338232,0.23217824312282498,0.365219661101604
2020-03-16,0.23072163382158395,0.17484612739817706,0.2316546477750319,0.36277759100520707
2020-03-17,0.23320644266412915,0.17657149196019326,0.22819237916398638,0.36202968621169124
2020-03-18,0.2336571506913926,0.1771283019426991,0.22762094677143507,0.36159360059447326
2020-03-19,0.23495559609147534,0.17721030836584573,0.22811281342104214,0.35972128212163684
2020-03-20,0.23488038260857516,0.17734541197714163,0.22820993927217023,0.35956426614211295
2020-03-23,0.2355911196463085,0.17718456018344922,0.227931577672141,0.3592927424981012
2020-03-24,0.23685238598420894,0.1794186003399317,0.2256376762555921,0.35809133742026716
2020-03-25,0.2409145534502464,0.17931737939532158,0.2234473836445376,0.35632068350989443
2020-03-26,0.24148856180793313,0.18020977856944229,0.2233160051518753,0.3549856544707493
2020-03-27,0.25059818900964753,0.17895494665411066,0.22201702149796937,0.3484298428382724
2020-03-30,0.25071033129645237,0.17940154230247435,0.222886897784442,0.34700122861663124
2020-03-31,0.25040935422754906,0.17956884645029658,0.22286887195390256,0.3471529273682518
2020-04-01,0.25494627693485467,0.18046298824381396,0.21461608430520274,0.34997465051612864
2020-04-02,0.2567726235277754,0.18180198376394743,0.2129919982326249,0.34843339447565225
2020-04-03,0.25625053486229643,0.18517219244722904,0.21094385823714723,0.3476334144533272
2020-04-07,0.25898392687167743,0.18740949992061207,0.2017668132622669,0.35183975994544364
2020-04-08,0.2937841040495778,0.21287968697140827,0.226957994891124,0.2663782140878899
2020-04-09,0.2935148739085696,0.21369856761617012,0.22655835056250825,0.26622820791275215
2020-04-10,0.2939450917563126,0.2150066904931803,0.22392933023666803,0.26711888751383905
2020-04-13,0.2954854288994318,0.21424985647182998,0.22417087982183032,0.266093834806908
2020-04-14,0.2953037843384433,0.2157689375065466,0.2230893825235882,0.2658378956314219
2020-04-15,0.2978907825840236,0.21486995797183964,0.2225032542005368,0.2647360052436
2020-04-16,0.29857768119017264,0.21443656411131626,0.2223065517257239,0.2646792029727872
2020-04-17,0.2988086715465361,0.2145139187551797,0.2219384285001348,0.26473898119814937
2020-04-20,0.29915052904884126,0.2142916923431209,0.22232643667663543,0.26423134193140235
2020-04-21,0.2995951044389388,0.21400294217378324,0.22222957951162928,0.2641723738756488
2020-04-22,0.29924399424452525,0.21418829554071858,0.22216785325864044,0.26439985695611573
