date,CU,AL,ZN,NI
2015-10-22,0.2770324320538137,0.5014263111578672,0.22154125678831912,0.0
2015-10-23,0.28422049380581615,0.48852068713236396,0.2272588190618199,0.0
2015-10-26,0.28514204664205645,0.4874647736529169,0.22739317970502676,0.0
2015-10-27,0.28926140081449603,0.47972395241366356,0.2310146467718405,0.0
2015-10-28,0.2913438857564842,0.47581379903190923,0.23284231521160662,0.0
2015-10-29,0.29200168318873265,0.47450971814169945,0.2334885986695679,0.0
2015-10-30,0.3132431316232225,0.4472514913227442,0.2395053770540333,0.0
2015-11-02,0.3152403679629647,0.445112188063487,0.23964744397354826,0.0
2015-11-03,0.31572558585462296,0.4449269633721386,0.2393474507732385,0.0
2015-11-04,0.31608288048379807,0.4445657912406876,0.2393513282755143,0.0
2015-11-05,0.3163423286842236,0.44458280545859064,0.23907486585718588,0.0
2015-11-06,0.31951388264423913,0.4391211034256686,0.2413650139300922,0.0
2015-11-09,0.3212674153206508,0.43792850061203026,0.24080408406731907,0.0
2015-11-10,0.32173317181511396,0.4379444724077321,0.24032235577715388,0.0
2015-11-11,0.321584826425965,0.4379392422471781,0.240475931326857,0.0
2015-11-12,0.3333488552313567,0.42111849233018517,0.24553265243845812,0.0
2015-11-13,0.33888220820035087,0.41575994643553427,0.24535784536411487,0.0
2015-11-16,0.33888668090843477,0.4156232664329198,0.2454900526586454,0.0
2015-11-17,0.34285390015498796,0.41075763191383924,0.2463884679311728,0.0
2015-11-18,0.34363160403155935,0.4098770973184808,0.24649129864995983,0.0
2015-11-19,0.3436662892602903,0.41084381931640734,0.24548989142330244,0.0
2015-11-20,0.3459039650400548,0.41007450568191134,0.244021529278034,0.0
2015-11-23,0.3515119863577154,0.4059834030361624,0.24250461060612225,0.0
2015-11-24,0.36004621244357476,0.40474393516543256,0.23520985239099262,0.0
2015-11-25,0.3587090181857133,0.40474763098408756,0.23654335083019917,0.0
2015-11-26,0.3612871659107488,0.40349169314880035,0.23522114094045088,0.0
2015-11-27,0.3614789847203922,0.40203861053475337,0.23648240474485452,0.0
2015-11-30,0.3765324730494577,0.37712632893275394,0.24634119801778837,0.0
2015-12-01,0.37953074677559967,0.37519933956417645,0.24526991366022388,0.0
2015-12-02,0.3816718848627705,0.37133867503255613,0.2469894401046734,0.0
2015-12-03,0.3819427041193617,0.3715003724349295,0.24655692344570884,0.0
2015-12-04,0.38179411322351575,0.37152990615869524,0.2466759806177891,0.0
2015-12-07,0.3816174169236539,0.3716451443109844,0.24673743876536172,0.0
2015-12-08,0.3811218881193025,0.3726145039940613,0.2462636078866363,0.0
2015-12-09,0.38120160756596455,0.3725507797212122,0.24624761271282322,0.0
2015-12-10,0.0001845353630928273,0.0001807922609455033,0.00011912269323077072,0.9995155496827309
2015-12-11,0.011797650821647339,0.011615904349198502,0.007634313760239491,0.9689521310689148
2015-12-14,0.032092375440684384,0.03160340707288245,0.020771273491982312,0.915532943994451
2015-12-15,0.04627653702349852,0.046700482691111773,0.030444714306337224,0.8765782659790525
2015-12-16,0.047089467636700036,0.047454164593799954,0.030984442760657396,0.8744719250088426
2015-12-17,0.05300744187965155,0.05357844310397659,0.03499670565139058,0.8584174093649813
2015-12-18,0.05619310016042777,0.05678689394537005,0.03717458364498602,0.8498454222492162
2015-12-21,0.057127716513817546,0.05789692278523761,0.037830283404730984,0.8471450772962139
2015-12-22,0.05773248952058438,0.060020136780211994,0.03910107385454061,0.843146299844663
2015-12-23,0.058124217023290306,0.06051140092917407,0.039352185444324964,0.8420121966032106
2015-12-24,0.05839313813937798,0.06078808372171599,0.03954749979193155,0.8412712783469746
2015-12-25,0.05940896720133585,0.061819701898402184,0.0401902941082457,0.8385810367920162
2015-12-28,0.06114577060642663,0.06367345035738424,0.04137804702581669,0.8338027320103725
2015-12-29,0.06186259993303333,0.06454630016845625,0.04185764020814893,0.8317334596903614
2015-12-30,0.10748055218479992,0.11251683325091327,0.07350005600743516,0.7065025585568517
2015-12-31,0.12971104442119596,0.1367265226265195,0.08890751566303254,0.6446549172892521
2016-01-04,0.14819774712393452,0.1543294320688761,0.09996802400189114,0.5975047968052983
2016-01-05,0.15480689614631088,0.15998550393177544,0.10364261591551513,0.5815649840063987
2016-01-06,0.1766560961869168,0.18248286996577873,0.11840946243753336,0.522451571409771
2016-01-07,0.18256035062863368,0.18234611270203557,0.11776834591033818,0.5173251907589926
2016-01-08,0.18382868028373592,0.18399269124993572,0.11858346070447041,0.513595167761858
2016-01-11,0.20375909054285224,0.204953838901809,0.1316916910462302,0.4595953795091086
2016-01-12,0.2050897688742926,0.20652204856419865,0.1326921095791553,0.4556960729823535
2016-01-13,0.2042931800234609,0.21009757690804692,0.1350144625958368,0.45059478047265533
2016-01-14,0.21391397145742697,0.21796914810467205,0.14154395802588096,0.42657292241202005
2016-01-15,0.2142508824508231,0.2181473294282641,0.14175167691317797,0.4258501112077347
2016-01-18,0.22122351358273293,0.22485691421943402,0.14633271091842587,0.4075868612794071
2016-01-19,0.22130796659496038,0.22583155830839752,0.1471482260291302,0.4057122490675119
2016-01-20,0.22973401122247966,0.23474240015908557,0.15287040990797388,0.3826531787104609
2016-01-21,0.23112135943548673,0.23628016026392576,0.15374028497167944,0.378858195328908
2016-01-22,0.23344883547921827,0.23583079029156626,0.15455623601137783,0.3761641382178376
2016-01-25,0.23352046632808363,0.23560999900976265,0.15510648289553514,0.3757630517666186
2016-01-26,0.23964260677804733,0.240270979985373,0.15934048385122168,0.360745929385358
2016-01-27,0.2445122278907085,0.2432506314368137,0.16242863891181186,0.3498085017606661
2016-01-28,0.24418094189058734,0.24370181786550837,0.16245618294272834,0.34966105730117597
2016-01-29,0.24657485859606956,0.24632584995772747,0.16395087847080217,0.3431484129754009
2016-02-01,0.24817724373094274,0.2477694035322506,0.16506792493177394,0.33898542780503277
2016-02-02,0.24861954276780338,0.24783173654384047,0.16534501948996813,0.338203701198388
2016-02-03,0.24987213308140163,0.24688590857092335,0.16626088762892985,0.33698107071874517
2016-02-04,0.25001656227268104,0.24711552862430292,0.16608808022098875,0.3367798288820273
2016-02-05,0.2500534245956626,0.2470927676256491,0.166676160376475,0.3361776474022133
2016-02-15,0.2507420304510483,0.24577681364502407,0.16759123489816907,0.3358899210057586
2016-02-16,0.2769992286206491,0.26761934388018077,0.1846729401005503,0.27070848739862
2016-02-17,0.27967968108336366,0.266540382011942,0.18723377704360863,0.26654615986108576
2016-02-18,0.2813865353089909,0.2646152998709472,0.1883588795390259,0.26563928528103603
2016-02-19,0.281688098478749,0.2640239241387395,0.18861716175797133,0.26567081562454037
2016-02-22,0.28212815911872036,0.2636974318302198,0.18877385550338244,0.26540055354767733
2016-02-23,0.2827148982843463,0.26255872818555115,0.18938887024024145,0.2653375032898612
2016-02-24,0.2858754976872875,0.26412954456638327,0.19185513472631277,0.2581398230200164
2016-02-25,0.28747716701589193,0.26330084412969806,0.1921062382361811,0.25711575061822894
2016-02-26,0.28784968296915614,0.2625809279665569,0.1938780089649219,0.2556913800993651
2016-02-29,0.2927505914820274,0.25917807919071767,0.19447326306916943,0.25359806625808545
2016-03-01,0.3068606354620604,0.253620381575248,0.19205252729620728,0.24746645566648423
2016-03-02,0.3104690152104771,0.2520150866003941,0.1914947458494519,0.24602115233967708
2016-03-03,0.310905244636347,0.2517536168216339,0.19240837838249047,0.24493276015952853
2016-03-04,0.3142230414857792,0.2514287278640205,0.19283210903200326,0.2415161216181971
2016-03-07,0.31514519840130745,0.2509892656164483,0.1929635301958486,0.24090200578639573
2016-03-08,0.3169446075577026,0.2523532942335279,0.19417979056593054,0.23652230764283888
2016-03-09,0.3200581164156931,0.25488358315452053,0.196080511993811,0.2289777884359755
2016-03-10,0.3235713342186096,0.2556537448554195,0.19658880093702524,0.22418611998894572
2016-03-11,0.3288933021373826,0.25475893331790334,0.197819910900012,0.21852785364470206
2016-03-14,0.34209106924733723,0.24962469084907618,0.1945653713136794,0.2137188685899072
2016-03-15,0.3423252494224255,0.2495184507948109,0.19457582089399778,0.21358047888876583
2016-03-16,0.3424878077009213,0.24934003564166438,0.19459077866245958,0.21358137799495475
