date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2022-07-25,0.11603556021490385,0.08218064517201844,0.07015904264065098,0.06340242881355708,0.07809650098176815,0.14010433875511005,0.13880336677727928,0.06992546197999329,0.07329198107215404,0.10364048633294229,0.06436018725962253
2022-07-26,0.1159178226193777,0.08207849624539112,0.07006989042997516,0.06417086058880467,0.07803667784742324,0.1399861583817118,0.13892277014258064,0.06981688567083427,0.07338063505099744,0.10327845312859688,0.06434134989430702
2022-07-27,0.11591897151176488,0.08201897846879126,0.06998465119585687,0.06417139134361798,0.07833746175310077,0.13865682987883896,0.13896411787558546,0.06981919378455785,0.07407110975758313,0.103201624181796,0.06485567024850676
2022-07-28,0.11591367184143626,0.08172426189186248,0.06920761764550157,0.064055231410385,0.07809890421375054,0.1386633230066881,0.13991702498796485,0.0696997681631754,0.07488103656763441,0.1030016510769276,0.06483750919467389
2022-07-29,0.11559364939274652,0.08149536555595617,0.06881874425463017,0.06349195701747191,0.07801472250766732,0.1382313324215146,0.13952622593946135,0.06947457046324496,0.07796981771454443,0.1027000729329246,0.06468354179983771
2022-08-01,0.1160068363464057,0.07981424255095962,0.06643335046036791,0.06367693456313094,0.07929660067184657,0.13863198063210594,0.1405647830340014,0.0695710504171365,0.07853614193265902,0.10259572714512827,0.0648723522462582
2022-08-02,0.11606045939857797,0.07983363251024997,0.0654966333659459,0.06365153436503111,0.07978261889547165,0.1387532365966456,0.14062415432688818,0.06959066986552591,0.07858726157415877,0.10260657824664687,0.06501322085485822
2022-08-03,0.1149741491308215,0.07827470048548184,0.06503640909588254,0.0628482231582793,0.07967690047396729,0.13775761646732773,0.13938431567020776,0.06891248395122636,0.08690889481940335,0.1017896842402289,0.06443662250717362
2022-08-04,0.11380391888590118,0.0774698724193442,0.06448542067059035,0.06212914477304174,0.0788333058301019,0.1364440323820154,0.14793758237511873,0.06824347537775378,0.08607129966865683,0.10079950672588463,0.06378244089159114
2022-08-05,0.11366437973663256,0.07729702440173263,0.0641444082062995,0.06204874311501157,0.07861702949987961,0.13625455389691069,0.14774584420473275,0.06816108897313684,0.08596476734344143,0.10148910934415302,0.06461305127806954
