date,TA,RU,V
2020-07-21,0.4669334280331982,0.2313866756347773,0.30167989633202447
2020-07-22,0.4679342906071965,0.23107701252752666,0.30098869686527696
2020-07-23,0.46864048817467285,0.22659381137932538,0.3047657004460018
2020-07-24,0.4691273687144416,0.22929929830905357,0.3015733329765048
2020-07-27,0.46675497304312547,0.23331410955340187,0.29993091740347266
2020-07-28,0.4702429849850718,0.23728659129589794,0.2924704237190303
2020-07-29,0.4552296454425465,0.2433412126903961,0.30142914186705744
2020-07-30,0.44900921739837735,0.25329886506342303,0.2976919175381995
2020-07-31,0.4510538796500945,0.2494316760617387,0.29951444428816687
2020-08-03,0.45305675624370667,0.25045669521326286,0.29648654854303047
2020-08-04,0.501747672307172,0.16989595961102966,0.3283563680817984
2020-08-05,0.5076540672642725,0.17183526939487298,0.3205106633408545
2020-08-06,0.5083383493275805,0.1719668205352432,0.31969483013717637
2020-08-07,0.511393340530961,0.17244959275474814,0.31615706671429095
2020-08-10,0.5207994483827326,0.17460888323861973,0.3045916683786477
2020-08-11,0.5219321081187434,0.17497747812664083,0.30309041375461576
2020-08-12,0.5250798544480889,0.17684660594495213,0.298073539606959
2020-08-13,0.5276520782859507,0.17773890033954995,0.2946090213744993
2020-08-14,0.5280251128514919,0.17781213372190224,0.2941627534266059
2020-08-17,0.5281406058423346,0.17763884031679716,0.29422055384086837
2020-08-18,0.5287852872300147,0.17721745927818186,0.2939972534918034
2020-08-19,0.5307267719925385,0.17786148097901544,0.291411747028446
2020-08-20,0.532302991470404,0.178791647784906,0.2889053607446899
2020-08-21,0.5322403765056379,0.17912738417089744,0.28863223932346455
2020-08-24,0.532367230525653,0.17899912484967617,0.28863364462467084
2020-08-25,0.5331914991303555,0.17948313615080844,0.2873253647188361
2020-08-26,0.5351340486083689,0.17636836848765966,0.28849758290397143
2020-08-27,0.535362197529711,0.17544896032986518,0.28918884214042384
2020-08-28,0.5357721294774421,0.17558702089795297,0.2886408496246049
2020-08-31,0.5361132932185068,0.17571447797351594,0.28817222880797727
2020-09-01,0.5367138705815617,0.17555484312887468,0.2877312862895637
2020-09-02,0.5365758949553922,0.17180213149869417,0.2916219735459137
2020-09-03,0.548846607967781,0.1671543676785981,0.28399902435362095
2020-09-04,0.5530549027130359,0.16438907756243856,0.28255601972452543
2020-09-07,0.5542926848053591,0.16286064253089944,0.2828466726637416
2020-09-08,0.5574536007603923,0.16212520141609477,0.28042119782351294
2020-09-09,0.557849268314953,0.16150251673760366,0.2806482149474433
2020-09-10,0.559855448419167,0.16123518997770925,0.27890936160312374
2020-09-11,0.5631948550043502,0.1576887376151345,0.27911640738051535
2020-09-14,0.5652822801425654,0.1572714798659352,0.2774462399914995
2020-09-15,0.5633047305715391,0.15799863452400995,0.27869663490445096
2020-09-16,0.571696930639895,0.15543350473976705,0.2728695646203379
2020-09-17,0.5706529172247791,0.15515608955117455,0.27419099322404644
2020-09-18,0.5725642034253007,0.15463057100846272,0.2728052255662366
2020-09-21,0.5713022843355811,0.155047521782423,0.2736501938819959
2020-09-22,0.5706201787965636,0.15469670819764375,0.2746831130057927
2020-09-23,0.5700212341616208,0.15405710859839997,0.27592165723997925
2020-09-24,0.5716400358589256,0.15243099908139923,0.2759289650596751
2020-09-25,0.565464286919638,0.15445040605186255,0.28008530702849954
2020-09-28,0.5699414449439754,0.1557058653110917,0.27435268974493293
2020-09-29,0.5818707741592258,0.1521382422273001,0.26599098361347406
2020-09-30,0.5788024238364955,0.1531996141766798,0.26799796198682474
2020-10-09,0.5790584409912706,0.1529827116286555,0.267958847380074
2020-10-12,0.5784469974788204,0.15414442195948524,0.26740858056169436
2020-10-13,0.5800623563180721,0.15278033837321114,0.26715730530871684
2020-10-14,0.5842035117136882,0.1507791013919255,0.2650173868943863
2020-10-15,0.587757246954172,0.1497249171312012,0.26251783591462685
2020-10-16,0.5828652568259529,0.1513838846334235,0.2657508585406237
2020-10-19,0.583358400415659,0.1509770032970911,0.26566459628724987
2020-10-20,0.5844260620201099,0.14459368969346215,0.27098024828642797
2020-10-21,0.5858948291665399,0.14311157494216042,0.27099359589129973
2020-10-22,0.5898053676209379,0.1383455182497072,0.2718491141293549
2020-10-23,0.594675475215782,0.13695566669188725,0.2683688580923308
2020-10-26,0.5989724937617985,0.13512269967897017,0.2659048065592314
2020-10-27,0.5965337675208313,0.1358220433379861,0.26764418914118254
2020-10-28,0.5946226970266235,0.1322243058888443,0.27315299708453233
2020-10-29,0.5935000757771892,0.1320816707575628,0.27441825346524806
2020-10-30,0.5972278342971327,0.1277304310089759,0.2750417346938915
2020-11-02,0.5995292022451548,0.12697846120791498,0.27349233654693034
2020-11-03,0.6048322952929147,0.12535361427799718,0.2698140904290881
2020-11-04,0.6100086298310337,0.12475268587507322,0.2652386842938931
2020-11-05,0.6064424333337771,0.12601753994315307,0.2675400267230698
2020-11-06,0.6063152533941552,0.12615461382101906,0.2675301327848259
2020-11-09,0.5938123466658266,0.13019476543363218,0.2759928879005412
2020-11-10,0.5822003408848602,0.13399648065846803,0.28380317845667186
2020-11-11,0.5658570576020748,0.14104425252448466,0.2930986898734404
2020-11-12,0.5710749400882468,0.14262521688507904,0.2862998430266742
2020-11-13,0.5570940590739984,0.14725079937287824,0.2956551415531234
2020-11-16,0.5560581181007481,0.14741390885229164,0.29652797304696027
2020-11-17,0.5604632967268318,0.14856516420793028,0.290971539065238
2020-11-18,0.5610276827298805,0.14984483518777628,0.28912748208234335
2020-11-19,0.5608651418342603,0.14985398132202554,0.2892808768437141
2020-11-20,0.5599035587617481,0.1502472128722862,0.28984922836596577
2020-11-23,0.5605450806785077,0.15041930461442754,0.28903561470706474
2020-11-24,0.5595220410053406,0.15095877437614105,0.28951918461851833
2020-11-25,0.5603097830102444,0.15113161834426675,0.2885585986454889
2020-11-26,0.5603702470847753,0.15120717126322836,0.28842258165199636
2020-11-27,0.5599414279473928,0.15212769627141343,0.28793087578119386
2020-11-30,0.5603904078823664,0.15192364015954982,0.2876859519580839
2020-12-01,0.5635495219901757,0.15307542815786085,0.28337504985196355
2020-12-02,0.5617843247032922,0.1538323943703378,0.28438328092637005
2020-12-03,0.5644044386914167,0.1544225775389688,0.2811729837696146
