date,RB,I,J,JM
2019-08-01,0.23422551252683216,0.1750914508323291,0.1809490321313623,0.40973400450947645
2019-08-02,0.2507897069015465,0.11548084948621161,0.19374789743746162,0.43998154617478036
2019-08-05,0.18355396504142293,0.08367217736706203,0.14166184147383748,0.5911120161176776
2019-08-06,0.18497814668160711,0.08282193149103115,0.1414014292829334,0.5907984925444283
2019-08-07,0.18528530466590615,0.08156634539664541,0.14156446245346566,0.5915838874839827
2019-08-08,0.18532208780994913,0.08157841532219931,0.1414414288301194,0.5916580680377321
2019-08-09,0.18589467154284922,0.080104571824914,0.1415914280987272,0.5924093285335097
2019-08-12,0.18610256047889412,0.08016993894932986,0.14170807835475024,0.5920194222170259
2019-08-13,0.18597910217542396,0.07916658655038272,0.1413465163470053,0.5935077949271881
2019-08-14,0.18548315490493444,0.07925094841613743,0.14096903348424877,0.5942968631946794
2019-08-15,0.18556564465470002,0.07918651461934945,0.14096629660703147,0.5942815441189191
2019-08-16,0.1857592661357322,0.07926008019967973,0.1409817670896705,0.5939988865749176
2019-08-19,0.18571191789418964,0.0791796520063689,0.140980800745227,0.5941276293542145
2019-08-20,0.18748023372547662,0.07969624410934284,0.14213107143467538,0.5906924507305051
2019-08-21,0.1878012232929641,0.07959141337403093,0.1421029600490518,0.5905044032839533
2019-08-22,0.18821580360848525,0.07934382333373345,0.1420619561310434,0.590378416926738
2019-08-23,0.182952785148056,0.07961524710338409,0.1430212188740818,0.5944107488744781
2019-08-26,0.18314751991064065,0.07932498557765241,0.1430482194938037,0.5944792750179033
2019-08-27,0.18381816074100668,0.07919989400266957,0.14285996527263803,0.5941219799836858
2019-08-28,0.18314634941671332,0.07888727243556184,0.14242385834938348,0.5955425197983414
2019-08-29,0.18359199061712955,0.07874503556521846,0.14235356241980743,0.5953094113978445
2019-08-30,0.1842031565067768,0.07860332341460315,0.14218280774535028,0.5950107123332699
2019-09-02,0.18608927810305767,0.07842603172889137,0.141802337610934,0.593682352557117
2019-09-03,0.19224705205235723,0.07759857773319588,0.14187984102989648,0.5882745291845505
2019-09-04,0.19183797433050645,0.07712013142575896,0.14224035573902927,0.5888015385047054
2019-09-05,0.19627536781638813,0.07672185641916218,0.14157257807533585,0.5854301976891139
2019-09-06,0.19806556040279974,0.07668713071718782,0.14166255981886386,0.5835847490611485
2019-09-09,0.1986068899908133,0.07680318912083668,0.141891371613481,0.5826985492748691
2019-09-10,0.19979958899851866,0.07664825307021847,0.14177741444274305,0.5817747434885199
2019-09-11,0.1980259457967379,0.07760488359995797,0.1437169611071763,0.580652209496128
2019-09-12,0.1985555080999727,0.07780221970052444,0.14407670331869266,0.5795655688808102
2019-09-16,0.19993033748917524,0.07815194359606302,0.144739441005658,0.5771782779091037
2019-09-17,0.19881486492331565,0.07797663703869444,0.1441427241325454,0.5790657739054446
2019-09-18,0.19890800489095678,0.07781728727475072,0.14390012224557014,0.5793745855887225
2019-09-19,0.20029379861246183,0.07777484485514648,0.14364640932532127,0.5782849472070706
2019-09-20,0.20002999924978207,0.0778810018365794,0.14387264561269264,0.5782163533009459
2019-09-23,0.1977698390177962,0.07766303832249637,0.14454524085280587,0.5800218818069015
2019-09-24,0.19790374794367774,0.07767457822938406,0.14423994344342966,0.5801817303835086
2019-09-25,0.19847434322454505,0.07781093396355997,0.14361276464648418,0.5801019581654108
2019-09-26,0.19897593679564918,0.07769307789940502,0.14083394701190602,0.5824970382930398
2019-09-27,0.20044795566841128,0.07759112498067215,0.14056650555382835,0.5813944137970883
2019-09-30,0.19965001084541834,0.07791577812269189,0.14067034325378044,0.5817638677781094
2019-10-08,0.2018634007482979,0.07864065058189743,0.1421617833338377,0.577334165335967
2019-10-09,0.21341681665194592,0.08012118082511535,0.14431622757556836,0.5621457749473704
2019-10-10,0.20272301142955326,0.07666804255567874,0.13815169046780604,0.5824572555469619
2019-10-11,0.20323641852522706,0.0766736203374494,0.138570738544816,0.5815192225925077
2019-10-14,0.20297198544181974,0.07614953211151484,0.13823457926458566,0.5826439031820798
2019-10-15,0.20262378183924468,0.0760216098788759,0.1380702240639758,0.5832843842179036
2019-10-16,0.2045992781433983,0.0774074786991766,0.140543380905198,0.5774498622522272
2019-10-17,0.20520980920338597,0.07748790686984346,0.1405215351058105,0.5767807488209602
2019-10-18,0.2096651228500961,0.0799629876940467,0.1451299221487268,0.5652419673071304
2019-10-21,0.2147591692820922,0.08159961810993295,0.14818653473207882,0.5554546778758961
2019-10-22,0.21440844360770972,0.08134315356842979,0.14785929504148218,0.5563891077823784
2019-10-23,0.21439581471591812,0.08140493798019019,0.14777791686302943,0.5564213304408623
2019-10-24,0.21395667171256177,0.08143186919751143,0.14784196765902807,0.5567694914308988
2019-10-25,0.2162885259203062,0.08233655592455295,0.1493705473179118,0.5520043708372291
2019-10-28,0.21650598605925328,0.08241823459012501,0.14953244609565716,0.5515433332549646
2019-10-29,0.21712061848554887,0.08272231296115795,0.1500910081770929,0.5500660603762003
2019-10-30,0.22047169422756474,0.08406061941705406,0.15216991183934653,0.5432977745160348
2019-10-31,0.22159179065808274,0.08455694555291283,0.15305083373832537,0.5408004300506791
2019-11-01,0.2208617651924262,0.08455325294957508,0.15294554712854302,0.5416394347294557
2019-11-04,0.23672967987104063,0.09074824116985161,0.16529571822009065,0.5072263607390172
2019-11-05,0.2383041515491877,0.0913220924909976,0.16734055112028517,0.5030332048395296
2019-11-06,0.23845900037066833,0.09134881826867086,0.1675406447870171,0.5026515365736437
2019-11-07,0.25010914045354316,0.09639194816627066,0.1766154217313496,0.47688348964883664
2019-11-08,0.25347205532291894,0.09761867960631405,0.18073424604851637,0.4681750190222507
2019-11-11,0.25347766601440513,0.09765837310472579,0.18263245834645594,0.4662315025344131
2019-11-12,0.25146688476257945,0.09698622214755306,0.18477799732392589,0.4667688957659417
2019-11-13,0.25686018414298967,0.09963552999029099,0.1886074062747322,0.45489687959198716
2019-11-14,0.25392053128055764,0.10002652542405215,0.1894115698876185,0.4566413734077716
2019-11-15,0.25390342179155445,0.10000945809014654,0.18953329503295321,0.45655382508534587
2019-11-18,0.2534886391302098,0.0983543074767406,0.2035712683618269,0.44458578503122265
2019-11-19,0.25514061186389064,0.0991710248520541,0.20552766170713765,0.4401607015769176
2019-11-20,0.25524260207010224,0.0990552955065561,0.20713271578227022,0.4385693866410714
2019-11-21,0.2588424312718583,0.10088178691577576,0.22209524141459597,0.41818054039777003
2019-11-22,0.25667665729676015,0.10080846805465794,0.23056148155900635,0.4119533930895755
2019-11-25,0.2569205842450695,0.10128168212573839,0.23233432259455236,0.4094634110346397
2019-11-26,0.2570484438238452,0.10132464969887678,0.23309308534528045,0.4085338211319975
2019-11-27,0.25841164797202926,0.10152081054839758,0.23372396900512074,0.4063435724744524
2019-11-28,0.2618152839528866,0.10246314013130635,0.24959131838258106,0.3861302575332261
2019-11-29,0.26104131728471147,0.10189246173665102,0.252528600751704,0.3845376202269335
2019-12-02,0.2613933570708493,0.10178154222645848,0.25400641935224727,0.38281868135044494
2019-12-03,0.26155250003302133,0.10175803057065631,0.2545004133560071,0.38218905604031533
