date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2021-12-10,0.1294251153753806,0.0,0.17002386359831184,0.10199304433683531,0.07004416451328534,0.09811338877977568,0.11003821265996619,0.08158229798959443,0.125578231758866,0.11320168098798454,0.0
2021-12-13,0.13552860320520552,0.0,0.16862645530390066,0.10359616344501787,0.06945136622848452,0.09652440927333401,0.10883079833643211,0.08062479850860622,0.12454611744888941,0.11227128825012966,0.0
2021-12-14,0.13522788013492004,0.0,0.16821425118987043,0.10564132363070813,0.06970506677437374,0.09556778085645375,0.10911659478251283,0.08028859250773356,0.12424166686961106,0.11199684325381651,0.0
2021-12-15,0.1352874982938333,0.0,0.16810430720330719,0.10576124814809346,0.06965089707541955,0.09534558972935862,0.11014491137852064,0.07962193440201719,0.12415997108777738,0.11192364268167282,0.0
2021-12-16,0.13803305812183028,0.0,0.1674180803509622,0.10537689782091211,0.0703552815446143,0.09492611062782691,0.10934881212876985,0.07922171977307907,0.12385328595156138,0.1114667536804437,0.0
2021-12-17,0.13305534747995287,0.0,0.16067068259959832,0.10130624647223378,0.06751555736308548,0.0909129243422425,0.10294546504234119,0.07584743231070398,0.160771999901754,0.10697434448808772,0.0
2021-12-20,0.13157475117451176,0.0,0.16045251776079994,0.1041311454321498,0.0682672622504956,0.09055361613900026,0.10244373896868458,0.0751941801794021,0.16055369749042195,0.10682909060453408,0.0
2021-12-21,0.13466656310007005,0.0,0.16022450244930334,0.10436375749030373,0.06879631927221515,0.09005698390831007,0.0998762666061629,0.07501279049057775,0.16032553839478353,0.1066772782882736,0.0
2021-12-22,0.1344749167540072,0.0,0.16062073943057378,0.10497866472079333,0.06800170967136006,0.08906083151214,0.1000178447996495,0.07518217548533024,0.16072202523907383,0.10694109238707206,0.0
2021-12-23,0.13381544581296598,0.0,0.16056295354001185,0.10650523504966217,0.06861757457044557,0.08890871047252424,0.09887169078752803,0.07515156824592303,0.16066420290931566,0.10690261861162337,0.0
2021-12-24,0.1335075308486014,0.0,0.16078292172510802,0.10689095768676077,0.06825066750140359,0.08877630188007124,0.09879195835297443,0.07506627904002093,0.16088430980411736,0.10704907316094237,0.0
2021-12-27,0.13421427388971274,0.0,0.16079678082049245,0.10713678317847893,0.06857281047256475,0.0887349833744596,0.09767644030758266,0.07491144978805825,0.1608981776389067,0.10705830052974392,0.0
