date,RB,I,J,JM
2016-07-19,0.2999968728427023,0.3092524107375216,0.0,0.39075071641977616
2016-07-20,0.29998012625634773,0.30929097001996747,0.0,0.3907289037236849
2016-07-21,0.2982806250482454,0.3113523007466957,0.0,0.390367074205059
2016-07-22,0.29783328072581045,0.3109512571621244,0.0,0.3912154621120651
2016-07-25,0.0005383018251407729,0.0005622575480793997,0.9981800484684239,0.0007193921583559682
2016-07-26,0.007776544274656631,0.007934225481863014,0.9739401122771844,0.010349117966296058
2016-07-27,0.1284849417664146,0.12998629393832964,0.5702013199851786,0.17132744431007724
2016-07-28,0.13019186775855435,0.13189285760504782,0.5639248358498616,0.17399043878653614
2016-07-29,0.14483029735812986,0.14344166015750323,0.5181374488756798,0.19359059360868716
2016-08-01,0.14547625421596874,0.14492861329062262,0.5141074097629437,0.19548772273046502
2016-08-02,0.14967786062942592,0.14845517768082314,0.49917696651345833,0.20268999517629271
2016-08-03,0.15949269557476986,0.15539202215224218,0.46682971679117236,0.21828556548181569
2016-08-04,0.16267125010758282,0.15854525229677383,0.4561863600236132,0.22259713757203015
2016-08-05,0.1622142736680532,0.16019275483106823,0.455253276538563,0.22233969496231556
2016-08-08,0.16158107893772777,0.16264630957199275,0.4549002256799072,0.22087238581037236
2016-08-09,0.16412220745564307,0.16904627232074554,0.4429532442174704,0.22387827600614102
2016-08-10,0.18799911807569958,0.19536676842777245,0.3693474484462186,0.24728666505030936
2016-08-11,0.1881716114556505,0.19590317856590286,0.37040283656745565,0.2455223734109911
2016-08-12,0.18813366391421738,0.19618655552166478,0.3703138139498281,0.24536596661428986
2016-08-15,0.1879504779162275,0.19698314199796496,0.37003868981712207,0.2450276902686856
2016-08-16,0.18531115141186114,0.20042713597186626,0.36523264603568806,0.2490290665805846
2016-08-17,0.18927892868197183,0.20484137783659478,0.37305695118283355,0.2328227422985999
2016-08-18,0.18787268379915995,0.2050722923068212,0.3732513429538042,0.23380368094021473
2016-08-19,0.184529032076906,0.20638109771010327,0.3753009978339271,0.2337888723790637
2016-08-22,0.1852152007637994,0.20796604186186168,0.376684169360094,0.23013458801424488
2016-08-23,0.1849779541756043,0.2084767490112535,0.3765477645858406,0.22999753222730152
2016-08-24,0.18470382974993896,0.20930858380624998,0.3762459767169502,0.22974160972686086
2016-08-25,0.18408231304441666,0.21090629175712886,0.3764060894989286,0.22860530569952597
2016-08-26,0.18408078307529308,0.2112254682369977,0.37639672044370315,0.22829702824400597
2016-08-29,0.18308301138350414,0.2144161699456882,0.3754140735172842,0.22708674515352345
